School_id,Teacher_id,Teacher_number,State_teacher_id,Teacher_email,First_name,Last_name,Title
3e0d6,36ea522,T-462771,CA-T-462771,rhayes@goldenplains.k12.edu,Robert,Hayes,Teacher
3e0d6,edc015c,T-885431,CA-T-885431,ekrause@goldenplains.k12.edu,Elizabeth,Krause,Teacher
3e0d6,8618cbc,T-587297,CA-T-587297,plopez@goldenplains.k12.edu,Paul,Lopez,Teacher
3e0d6,70f8fc6,T-928682,CA-T-928682,clewis@goldenplains.k12.edu,Christy,Lewis,Teacher
3e0d6,0322ac3,T-265497,CA-T-265497,bbrown@goldenplains.k12.edu,Brian,Brown,Teacher
3e0d6,4930be1,T-245892,CA-T-245892,wkeller@goldenplains.k12.edu,William,Keller,Teacher
3e0d6,cedf679,T-108531,CA-T-108531,smiller@goldenplains.k12.edu,Shawn,Miller,Teacher
3e0d6,41237b9,T-571819,CA-T-571819,rflores@goldenplains.k12.edu,Rebecca,Flores,Teacher
3e0d6,036845c,T-896540,CA-T-896540,ewilkinson@goldenplains.k12.edu,Elizabeth,Wilkinson,Teacher
3e0d6,6d9592c,T-394398,CA-T-394398,dgonzalez@goldenplains.k12.edu,Danielle,Gonzalez,Teacher
63dbd,94e6417,T-855324,CA-T-855324,sdyer@goldenplains.k12.edu,Stephen,Dyer,Teacher
63dbd,72ad12e,T-366048,CA-T-366048,jsmith@goldenplains.k12.edu,Joshua,Smith,Teacher
63dbd,ef2e528,T-357639,CA-T-357639,rriggs@goldenplains.k12.edu,Richard,Riggs,Teacher
63dbd,f9349f9,T-864024,CA-T-864024,mcarrillo@goldenplains.k12.edu,Marcus,Carrillo,Teacher
63dbd,561fd84,T-837754,CA-T-837754,smorris@goldenplains.k12.edu,Steven,Morris,Teacher
63dbd,f5ab477,T-457063,CA-T-457063,mgibson@goldenplains.k12.edu,Maria,Gibson,Teacher
63dbd,7768ffb,T-860133,CA-T-860133,msnyder@goldenplains.k12.edu,Michael,Snyder,Teacher
63dbd,9271013,T-454282,CA-T-454282,sfox@goldenplains.k12.edu,Steven,Fox,Teacher
63dbd,aa09abb,T-197624,CA-T-197624,jwilliams@goldenplains.k12.edu,Julie,Williams,Teacher
63dbd,17fb5f8,T-537666,CA-T-537666,jcollins@goldenplains.k12.edu,Jordan,Collins,Teacher
a4d7d3,afdf8dd,T-832367,CA-T-832367,staylor@goldenplains.k12.edu,Steven,Taylor,Teacher
a4d7d3,5a1db2d,T-602614,CA-T-602614,ejefferson@goldenplains.k12.edu,Erin,Jefferson,Teacher
a4d7d3,c612be7,T-341367,CA-T-341367,jevans@goldenplains.k12.edu,Jamie,Evans,Teacher
a4d7d3,c7eb4ef,T-191429,CA-T-191429,mmorales@goldenplains.k12.edu,Matthew,Morales,Teacher
a4d7d3,75dee9d,T-816512,CA-T-816512,rreeves@goldenplains.k12.edu,Richard,Reeves,Teacher
a4d7d3,a948c24,T-976232,CA-T-976232,jreynolds@goldenplains.k12.edu,Jennifer,Reynolds,Teacher
a4d7d3,91ae05d,T-991922,CA-T-991922,afox@goldenplains.k12.edu,Amber,Fox,Teacher
a4d7d3,3625957,T-980815,CA-T-980815,aburnett@goldenplains.k12.edu,Adam,Burnett,Teacher
a4d7d3,c3bc6eb,T-835306,CA-T-835306,cmartin@goldenplains.k12.edu,Cindy,Martin,Teacher
a4d7d3,7899799,T-612220,CA-T-612220,schristian@goldenplains.k12.edu,Sean,Christian,Teacher
ceddd5,6555bb6,T-950466,CA-T-950466,mbrown@goldenplains.k12.edu,Michelle,Brown,Teacher
ceddd5,3fd25e2,T-789261,CA-T-789261,eguerrero@goldenplains.k12.edu,Elizabeth,Guerrero,Teacher
ceddd5,3f73875,T-943426,CA-T-943426,arodriguez@goldenplains.k12.edu,Alexander,Rodriguez,Teacher
ceddd5,7149fc9,T-249532,CA-T-249532,jmartin@goldenplains.k12.edu,Jacqueline,Martin,Teacher
ceddd5,7eeee48,T-590693,CA-T-590693,iwashington@goldenplains.k12.edu,Isabel,Washington,Teacher
ceddd5,9d35f15,T-928029,CA-T-928029,jmercer@goldenplains.k12.edu,Jacqueline,Mercer,Teacher
ceddd5,093f361,T-950240,CA-T-950240,rowen@goldenplains.k12.edu,Robert,Owen,Teacher
ceddd5,c136da1,T-995646,CA-T-995646,dwagner@goldenplains.k12.edu,David,Wagner,Teacher
ceddd5,da60442,T-566105,CA-T-566105,mkerr@goldenplains.k12.edu,Maria,Kerr,Teacher
ceddd5,35b61a8,T-552370,CA-T-552370,losborne@goldenplains.k12.edu,Lisa,Osborne,Teacher
b6e4b8,a91a81a,T-688173,CA-T-688173,dwilliams@goldenplains.k12.edu,Don,Williams,Teacher
b6e4b8,36dea00,T-554070,CA-T-554070,mjohnson@goldenplains.k12.edu,Maria,Johnson,Teacher
b6e4b8,40e6c4a,T-488503,CA-T-488503,apalmer@goldenplains.k12.edu,Amy,Palmer,Teacher
b6e4b8,4295251,T-563643,CA-T-563643,mfrancis@goldenplains.k12.edu,Matthew,Francis,Teacher
b6e4b8,659d23e,T-629958,CA-T-629958,ahicks@goldenplains.k12.edu,Andrea,Hicks,Teacher
b6e4b8,e5103f2,T-431099,CA-T-431099,jtodd@goldenplains.k12.edu,Joshua,Todd,Teacher
b6e4b8,1198021,T-352675,CA-T-352675,mmorrow@goldenplains.k12.edu,Mark,Morrow,Teacher
b6e4b8,8d20061,T-834558,CA-T-834558,jelliott@goldenplains.k12.edu,Jeffery,Elliott,Teacher
b6e4b8,1f16caa,T-242110,CA-T-242110,tsims@goldenplains.k12.edu,Tony,Sims,Teacher
b6e4b8,9d91957,T-743562,CA-T-743562,ajohnson@goldenplains.k12.edu,Alyssa,Johnson,Teacher
